# LootCouncil EX — P2 loot source (Serpentshrine Cavern + Tempest Keep: The Eye).
# Columns: phase,raid,order,boss,itemID  (one item per row; order = boss kill order)
# Source: AtlasLootClassic_DungeonsAndRaids data-tbc.lua (NORMAL_DIFF per-boss drops), verified.
# Regenerate Core/Data/Loot.lua with:  lua tools/build_data.lua
phase,raid,order,boss,itemID
# ── Serpentshrine Cavern ───────────────────────────────────────────────────────
P2,Serpentshrine Cavern,1,Hydross the Unstable,30056
P2,Serpentshrine Cavern,1,Hydross the Unstable,32516
P2,Serpentshrine Cavern,1,Hydross the Unstable,30050
P2,Serpentshrine Cavern,1,Hydross the Unstable,30055
P2,Serpentshrine Cavern,1,Hydross the Unstable,30047
P2,Serpentshrine Cavern,1,Hydross the Unstable,30054
P2,Serpentshrine Cavern,1,Hydross the Unstable,30048
P2,Serpentshrine Cavern,1,Hydross the Unstable,30053
P2,Serpentshrine Cavern,1,Hydross the Unstable,30052
P2,Serpentshrine Cavern,1,Hydross the Unstable,33055
P2,Serpentshrine Cavern,1,Hydross the Unstable,30664
P2,Serpentshrine Cavern,1,Hydross the Unstable,30629
P2,Serpentshrine Cavern,1,Hydross the Unstable,30049
P2,Serpentshrine Cavern,1,Hydross the Unstable,30051
P2,Serpentshrine Cavern,2,The Lurker Below,30064
P2,Serpentshrine Cavern,2,The Lurker Below,30067
P2,Serpentshrine Cavern,2,The Lurker Below,30062
P2,Serpentshrine Cavern,2,The Lurker Below,30060
P2,Serpentshrine Cavern,2,The Lurker Below,30066
P2,Serpentshrine Cavern,2,The Lurker Below,30065
P2,Serpentshrine Cavern,2,The Lurker Below,30057
P2,Serpentshrine Cavern,2,The Lurker Below,30059
P2,Serpentshrine Cavern,2,The Lurker Below,30061
P2,Serpentshrine Cavern,2,The Lurker Below,33054
P2,Serpentshrine Cavern,2,The Lurker Below,30665
P2,Serpentshrine Cavern,2,The Lurker Below,30063
P2,Serpentshrine Cavern,2,The Lurker Below,30058
P2,Serpentshrine Cavern,3,Leotheras the Blind,30092
P2,Serpentshrine Cavern,3,Leotheras the Blind,30097
P2,Serpentshrine Cavern,3,Leotheras the Blind,30091
P2,Serpentshrine Cavern,3,Leotheras the Blind,30096
